Language,Glot500,SeamlessM4T,NLLB,Qwen,LLAMA,GPT-2,r50k_base,p50k_base,p50k_edit,cl100k_base,RoBERTa,GottBERT,CamemBERT,PhoBERT,RoCBert,XLM-RoBERTa,M2M100,MBart50,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT,MuRIL,UTF-32,BERT Japanese
Acehnese (Arabic script),108998,112433,112432,143141,242496,251497,251497,251497,251497,199956,251497,390347,90832,176648,86495,115461,119667,115462,117938,90896,391515,219474,140671,91429,77105,219474,50731
Acehnese (Latin script),74243,73769,73768,104997,114821,113531,113531,113531,113531,104849,113531,122823,124070,114495,236887,93369,92887,93370,94854,147715,283335,278522,92532,138840,109149,278522,146081
Mesopotamian Arabic,65749,81662,81661,87444,202345,224237,224237,224234,224234,158035,224237,402524,76027,185388,83820,69291,80345,69292,84300,76067,405062,223981,60960,53301,103943,223981,43175
Ta’izzi-Adeni Arabic,66167,82476,82475,87471,205086,227986,227986,227986,227986,158955,227986,407200,77834,187401,83097,70079,81240,70080,86472,77877,409628,226400,60967,53198,104701,226400,44174
Tunisian Arabic,67412,82568,82567,89040,200621,220845,220845,220841,220841,154582,220845,396918,76376,182504,81242,71776,81874,71777,84938,76423,399376,221017,63181,55062,102587,221017,43432
Afrikaans,69717,72722,72721,89983,94080,101771,101771,101771,101771,89171,101771,98519,110438,105102,229264,71571,77060,71572,78558,124449,277732,274530,89808,127906,99171,274530,131262
South Levantine Arabic,62923,78004,78003,83386,193985,211501,211501,211501,211501,149832,211501,382023,76220,175385,81325,67110,77076,67111,81281,76300,385654,214652,59291,53150,98143,214652,44143
Akan,85965,83122,83121,122312,133497,147060,147060,147060,147060,141807,147060,149734,131229,120943,169024,117967,115776,117968,119492,171393,285241,259737,109025,98738,80219,259737,150069
Tosk Albanian,75821,80153,80152,119802,137304,139180,139180,139180,139180,118970,139180,139968,145681,140863,241693,78642,86041,78643,97346,178604,312452,289969,115353,140644,135796,289969,108437
Amharic,77687,78878,78877,223413,443868,409343,409343,409343,409343,405644,409343,409257,69695,137978,40969,79683,89970,79684,113583,69705,445855,174268,269501,39717,39435,174268,36602
North Levantine Arabic,64148,79473,79472,85098,193287,212418,212418,212418,212418,149520,212418,381535,72702,175929,82341,68660,78633,68661,80726,72770,384850,213236,59993,52690,98757,213236,40847
Standard Arabic,66456,83074,83073,87417,207440,231316,231316,231316,231316,160485,231316,411432,79409,189134,83412,70160,81754,70161,88560,79450,413881,228923,60841,52834,106186,228923,43742
Standard Arabic (Romanized),107802,110607,110606,129955,140183,132163,132163,132126,132126,129672,132163,139173,138183,129567,258329,115661,115815,115662,113902,170119,302462,302341,114133,154071,122996,302341,169235
Najdi Arabic,66786,83467,83466,87630,207756,231630,231630,231630,231630,160703,231630,412164,79736,189486,83668,70566,82195,70567,88765,79780,414423,229162,61136,53069,106404,229162,44210
Moroccan Arabic,68949,83043,83042,91423,202914,221115,221115,221115,221115,156350,221115,400935,77398,184382,83427,74275,84409,74276,84624,77441,403707,223535,67216,60326,102895,223535,45016
Egyptian Arabic,65800,81033,81032,88079,203954,222553,222553,222552,222552,156292,222553,402538,78776,184358,85359,69984,80468,69985,83875,78787,404608,223944,61836,55464,101822,223944,44935
Assamese,81530,82601,82600,293341,372490,514374,514374,514368,514368,327657,514374,656585,80572,209938,46202,113113,141670,113114,127306,80568,658998,248983,74842,45553,66888,248983,43421
Asturian,68374,69520,69519,84044,89566,99420,99420,99419,99419,83704,99420,105192,105422,103303,224060,75945,73168,75946,84180,119928,276557,267356,69668,120088,97579,267356,130355
Awadhi,77617,72567,72566,234047,274376,378103,378103,378082,378082,252559,378103,646209,102179,201278,56756,81930,93158,81931,106457,102216,648620,252973,75880,62972,69624,252973,53252
Central Aymara,77674,78792,78791,115349,123333,122124,122124,122124,122124,114730,122124,127777,130158,122409,236592,101269,104125,101270,103045,157095,278302,271932,103162,139013,106931,271932,149459
South Azerbaijani,75215,81406,81405,140582,228183,271447,271447,271437,271437,176561,271447,419700,71248,195084,59923,85106,95216,85107,93095,71269,421538,230356,96441,107137,93021,230356,58599
North Azerbaijani,63928,79316,79315,133903,158033,182348,182348,182348,182348,139670,182348,182216,164849,159049,202067,68418,79961,68419,88807,198069,327051,282580,122337,167502,131737,282580,160390
Bashkir,73355,72787,72786,168432,176120,316164,316164,316164,316164,226124,316164,313601,126302,218262,97842,122871,77959,122872,105089,197474,480838,262555,189762,98443,73521,262555,42632
Bambara,75138,75746,75745,114754,120566,140011,140011,139965,139965,135569,140011,145217,123509,116633,167226,108316,108853,108317,108746,156086,270935,249080,100402,90958,70648,249080,138189
Balinese,67338,64317,64316,96015,107364,103682,103682,103666,103666,95203,103682,109604,114664,107056,247527,78612,81765,78613,84863,137278,288815,287688,77770,134647,98690,287688,139353
Belarusian,84280,102652,102651,161328,144574,344748,344748,344748,344748,187319,344748,328950,174057,240969,221292,87245,98633,87246,104504,222105,535528,293469,172266,250560,99776,293469,50884
Bemba,79393,83026,83025,118424,130294,129364,129364,129364,129364,117904,129364,133283,134862,128043,273099,104974,105613,104975,102918,173992,318923,318153,102359,159038,117182,318153,169134
Bengali,75997,76302,76323,273333,325868,507509,507509,507507,507507,308325,507509,674272,79472,214970,45227,82135,98507,82136,103680,79481,676264,254327,62014,44467,54583,254327,41936
Bhojpuri,80476,76058,76057,232478,274046,377309,377309,377267,377267,247793,377309,637964,104652,200403,57831,87860,97689,87861,107289,104629,641057,252371,81327,61484,75210,252371,55920
Banjar (Arabic script),106490,111946,111945,141137,255678,264266,264266,264266,264266,200951,264266,436641,82110,201154,92742,114731,122324,114732,115648,82251,437480,240281,131401,100285,80363,240281,45094
Banjar (Latin script),63119,64334,64333,91153,106355,103982,103982,103982,103982,90276,103982,109168,108556,101073,233919,72076,73211,72077,76538,127530,272644,272244,69307,127025,92101,272244,132944
Standard Tibetan,84375,85473,85472,393875,404611,784601,784601,784570,784570,595659,784601,857781,9929,286046,148576,41954,9870,41955,242119,9915,859707,291590,354304,147821,147672,291590,194970
Bosnian,63582,70802,70801,99750,102328,115005,115005,115004,115004,98989,115005,116335,117347,112807,220911,66919,73907,66920,87222,143283,267950,260762,97705,133927,96857,260762,134892
Buginese,83240,77344,77343,105384,113312,115798,115798,115791,115791,104607,115798,117358,116092,113066,237814,89886,94280,89887,94630,145074,283841,275699,90959,139630,105783,275699,143530
Bulgarian,67594,77799,77798,118445,107854,289393,289393,289393,289393,139501,289393,276630,162063,215050,201725,68968,77990,68969,84216,193583,489890,270630,132248,227106,153501,270630,49896
Catalan,73302,74351,74350,90697,91628,100917,100917,100917,100917,90427,100917,110332,106665,109174,238062,75451,79876,75452,89612,124034,291806,285853,62983,124819,102473,285853,134705
Cebuano,75595,76609,76608,102659,118809,117716,117716,117716,117716,101774,117716,124007,127770,117575,259722,90833,87220,90834,93284,165260,311013,310925,94620,145902,113208,310925,158499
Czech,68179,75087,75086,111243,102617,137859,137859,137859,137859,111264,137859,136455,129272,123396,213411,69647,77680,69648,83670,157688,280405,251082,107754,126693,86320,251082,107196
Chokwe,75400,80020,80019,103961,115715,113735,113735,113735,113735,104503,113735,119429,119231,110095,236893,92286,93123,92287,92683,154067,278117,277102,91317,141673,104766,277102,147047
Central Kurdish,71418,77394,77393,186071,268312,341390,341390,341390,341390,253685,341390,459720,78771,213031,46831,136941,157264,136942,114761,78770,461199,251845,170668,158989,57373,251845,41518
Crimean Tatar,71703,74357,74356,104671,129130,130893,130893,130659,130659,111855,130893,131923,134640,128877,172511,82206,86741,82207,86988,162045,291908,265769,110003,139670,104210,265769,128153
Welsh,82358,81973,81972,112334,126897,123262,123262,123262,123262,111804,123262,131194,134885,127694,229811,85327,91291,85328,111445,180487,277959,276951,111312,149568,125348,276951,151952
Danish,64073,66007,66006,86676,93112,100083,100083,99973,99973,85831,100083,99284,111753,107454,223959,65265,71154,65266,75027,130567,272408,266753,88852,123375,98506,266753,119120
German,67783,77097,77096,83400,85593,112600,112600,112600,112600,83450,112600,58508,123942,116552,259689,69727,78466,69728,78142,79288,307304,302377,89320,139166,108976,302377,141390
Southwestern Dinka,85346,74400,74399,108235,113904,130281,130281,130254,130254,118865,130281,125995,114303,109959,162625,100413,98186,100414,104155,142648,250279,221929,96684,93382,81202,221929,112280
Dyula,82460,85784,85783,105048,114083,115705,115705,115705,115705,108433,115705,121866,114862,108895,212549,98157,96750,98158,101708,154918,278145,261275,95832,125478,111235,261275,144030
Dzongkha,95025,88040,88039,439802,449573,860070,860070,860066,860066,651364,860070,942994,26999,310026,162796,58041,26989,58042,278950,27005,943132,323571,391306,162773,162768,323571,67780
Greek,84249,98099,98098,266158,302389,343953,343953,343953,343953,271846,343953,393935,98127,259761,249809,86669,100218,86670,108200,98202,562986,310159,202450,260481,65658,310159,75035
English,56523,59549,59548,53726,60621,52567,52567,52567,52567,52835,52567,78923,80199,83535,216302,59656,63374,59657,65729,57876,259396,259170,53174,96467,53946,259170,103383
Esperanto,69648,73511,73510,96585,101367,106503,106503,106503,106503,98813,106503,108038,108276,105543,217770,71512,87589,71513,78270,126939,263370,258512,87615,119270,89255,258512,116991
Estonian,64495,69046,69045,99497,106800,111089,111089,111089,111089,98826,111089,109399,113611,110867,221758,66864,76037,66865,73511,140518,262393,254538,94067,123324,91983,254538,121532
Basque,67064,75553,75552,100439,108692,110251,110251,110250,110250,99592,110251,109524,115691,111466,240728,69305,77988,69306,80064,134955,276279,275448,60830,136206,102270,275448,139769
Ewe,78168,75573,75572,126550,138180,152353,152353,152353,152353,145385,152353,155357,135264,121730,168581,120047,118048,120048,119854,165046,276783,252072,112330,100448,76916,252072,135643
Faroese,73933,78291,78290,109682,116579,125367,125367,125367,125367,109406,125367,130964,131658,121814,186548,85972,89494,85973,91884,157775,284012,263787,103830,136254,94405,263787,117253
Fijian,80997,78862,78861,114361,122389,121044,121044,121044,121044,113623,121044,132003,122256,116500,244685,102559,102897,102560,104403,174918,303678,303403,105667,159150,108251,303403,158535
Finnish,66223,72217,72216,106001,115792,119621,119621,119621,119621,105276,119621,115400,125385,123141,244727,67990,77809,67991,76281,151302,287021,276102,100568,137245,110839,276102,149717
Fon,90489,94715,94713,154378,171823,214346,214346,214346,214346,193724,214346,217332,158537,150103,158506,149608,146704,149609,155092,203927,327076,265357,117430,100261,91583,265357,154975
French,75715,80420,80419,84385,89027,104971,104971,104971,104971,84407,104971,116382,67031,115302,258575,77352,84236,77353,91954,92423,320613,308489,63881,128023,105894,308489,140258
Friulian,81766,81757,81756,98330,103264,108675,108675,108675,108675,97607,108675,115943,111015,110929,232073,92873,93343,92874,99837,133187,293730,284088,90630,123275,104739,284088,132954
Nigerian Fulfulde,72917,73552,73551,94221,104473,104628,104628,104628,104628,97955,104628,108352,103243,96944,186121,87218,80379,87219,87007,123788,247982,242184,88035,111927,83039,242184,124587
West Central Oromo,81464,84831,84830,123273,134580,132819,132819,132819,132819,122460,132819,135871,139003,134682,268913,106294,94455,106295,110976,182606,311988,307188,116457,157621,117080,307188,168782
Scottish Gaelic,99080,92985,92984,128052,141074,141855,141855,141855,141855,127836,141855,146408,144558,134854,267356,104559,102196,104560,121647,187248,332878,320213,119665,151269,122313,320213,153752
Irish,86908,84325,84324,122660,131349,134446,134446,134446,134446,123062,134446,138891,140529,129584,249323,89323,95296,89324,109777,181920,318859,299807,114550,139543,132936,299807,156000
Galician,65442,68789,68788,82816,89614,100549,100549,100549,100549,82499,100549,109486,109337,108753,240324,67114,72186,67115,86400,126094,293863,286720,67516,125278,102970,286720,136270
Guarani,73978,79794,79793,112169,120713,129285,129285,129268,129268,114837,129285,132854,124168,121173,226759,102405,103340,102406,106773,148620,281888,261956,99535,135241,107150,261956,129575
Gujarati,75362,80502,80501,364289,605193,644828,644828,644817,644817,406224,644828,645186,86997,206252,48164,84540,99875,84541,113530,86977,647801,248721,71638,47321,64036,248721,47009
Haitian Creole,65131,65864,65863,92399,95482,100092,100092,100092,100092,91870,100092,106609,105879,96290,193530,83038,73297,83039,79946,134250,245512,238876,83111,113484,90566,238876,122543
Hausa,74286,70335,70334,104898,114687,112972,112972,112972,112972,105931,112972,117546,118065,105075,219549,83445,81634,83446,89867,151250,279824,276665,94598,129358,96035,276665,139593
