Language,Glot500,SeamlessM4T,NLLB,Qwen,LLAMA,GPT-2,r50k_base,p50k_base,p50k_edit,cl100k_base,RoBERTa,GottBERT,CamemBERT,PhoBERT,RoCBert,XLM-RoBERTa,M2M100,MBart50,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT,MuRIL,UTF-32,BERT Japanese
Acehnese (Arabic script),199,0,253,0,0,0,0,0,0,0,33,51,72412,44386,58680,8402,8708,8402,2548,72462,51,29,0,10234,31525,0,48267
Acehnese (Latin script),11,0,59,0,0,0,0,0,0,0,1,1,767,613,0,15,15,14,14,260,4,4,0,0,0,0,0
Mesopotamian Arabic,151,189,190,0,0,0,0,0,0,0,9,16,62312,25190,56858,160,185,159,194,62345,16,9,0,0,0,0,40926
Ta’izzi-Adeni Arabic,11,17,17,0,0,0,0,0,0,0,7,12,63688,25934,57505,13,15,12,15,63722,12,7,0,0,0,0,41905
Tunisian Arabic,78,91,98,0,0,0,0,0,0,0,25,46,62403,25404,56554,84,95,83,99,62441,46,26,0,0,0,0,41113
Afrikaans,0,470,331,0,0,0,0,0,0,0,0,0,21,425,52,0,0,0,0,184,2,2,0,0,0,0,1902
South Levantine Arabic,12,3,26,0,0,0,0,0,0,0,27,49,61432,22812,54870,13,15,13,16,61495,50,28,0,0,0,0,41268
Akan,0,0,393,0,0,0,0,0,0,0,1,1,11077,11553,39854,1863,2245,1863,0,14457,3,3,0,34973,28425,0,8129
Tosk Albanian,7,0,11,0,0,0,0,0,0,0,4,4,22,46,0,8,8,7,9,13613,9,9,0,0,0,0,43191
Amharic,0,0,114,0,0,0,0,0,0,0,4,4,54244,133564,39797,0,0,0,0,54251,5,2,0,38470,38198,0,35237
North Levantine Arabic,4,2,6,0,0,0,0,0,0,0,6,12,59206,21973,54205,5,6,5,6,59261,12,7,0,0,0,0,38713
Standard Arabic,10,15,15,0,0,0,0,0,0,0,7,12,64860,27130,58231,11,13,11,13,64893,12,7,0,0,0,0,41914
Standard Arabic (Romanized),99,88,110,0,0,0,0,0,0,0,6,6,153,289,0,107,111,106,105,182,14,14,0,0,0,0,0
Najdi Arabic,2,6,5,0,0,0,0,0,0,0,6,10,65159,27035,58338,3,3,2,3,65195,10,6,0,0,0,0,42310
Moroccan Arabic,6,1,11,0,0,0,0,0,0,0,16,30,63085,24299,56753,7,8,6,7,63119,30,17,0,0,0,0,42240
Egyptian Arabic,58,64,73,0,0,0,0,0,0,0,24,44,64312,21942,57565,62,73,62,74,64321,45,25,0,0,0,0,42596
Assamese,0,0,0,0,0,0,0,0,0,0,72,92,67224,203690,44736,0,10599,0,0,67220,92,35,0,44032,0,0,41991
Asturian,145,0,547,0,0,0,0,0,0,0,1,1,2330,744,16,161,155,161,178,1195,3,3,0,0,0,0,0
Awadhi,79,59,74,0,0,0,0,0,0,0,76,130,80663,102099,55281,84,133,84,109,80692,130,51,0,55634,0,0,51847
Central Aymara,0,0,26,0,0,0,0,0,0,0,3,3,2188,764,4028,0,0,0,0,1870,8,8,0,0,2708,0,1372
South Azerbaijani,51,55,78,0,0,0,0,0,0,0,25,40,59815,21286,49334,58,77,58,63,59832,40,22,0,422,327,0,53753
