Language,Glot500,SeamlessM4T,NLLB,Qwen,LLAMA,GPT-2,r50k_base,p50k_base,p50k_edit,cl100k_base,RoBERTa,GottBERT,CamemBERT,PhoBERT,RoCBert,XLM-RoBERTa,M2M100,MBart50,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT,MuRIL,UTF-32,BERT Japanese
Acehnese (Arabic script),0.0018257215728728967,0.0,0.0022502490394193824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013121428883843545,0.0001306529831150233,0.797208032411485,0.25126805851184275,0.6784207179605758,0.07276916014931449,0.07276859953036342,0.07276852990594308,0.02160457189370686,0.7971967963386728,0.00013026320830619517,0.00013213410244493652,0.0,0.11193385031007667,0.4088580507100707,0.0,0.9514300920541681
Acehnese (Latin script),0.000148162116293792,0.0,0.000799804793406355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.808166932379703e-06,8.14179754606222e-06,0.00618199403562505,0.0053539455871435436,0.0,0.0001606528933586094,0.00016148653740566494,0.00014994109456999035,0.00014759525164990405,0.001760146227532749,1.4117564014329328e-05,1.4361522608626967e-05,0.0,0.0,0.0,0.0,0.0
Mesopotamian Arabic,0.002296612876241464,0.0023144179667409564,0.00232669205618349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0136105994996366e-05,3.974918265743161e-05,0.8196035618924855,0.13587718730446416,0.6783345263660224,0.002309102192203894,0.002302570166158442,0.002294637187554119,0.0023013048635824435,0.8196063996213864,3.950012590665133e-05,4.018197972149423e-05,0.0,0.0,0.0,0.0,0.9479096699478865
Ta’izzi-Adeni Arabic,0.00016624601387398553,0.00020612056840777924,0.00020612306759624127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.070363969717439e-05,2.9469548133595284e-05,0.8182542333684508,0.1383877353909531,0.6920225760256086,0.000185504930150259,0.00018463810930576072,0.00017123287671232877,0.00017346655564807106,0.8182390179385441,2.9294872420830606e-05,3.0918727915194346e-05,0.0,0.0,0.0,0.0,0.9486349436320007
Tunisian Arabic,0.0011570640242093396,0.0011021218874140103,0.00118691486913658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011320156670968327,0.00011589295521996986,0.8170498585943228,0.13919694910796476,0.6961177715959725,0.0011703076237182346,0.0011603195153528593,0.0011563592794349164,0.0011655560526501684,0.8170446069900422,0.00011517968030126998,0.00011763800974585666,0.0,0.0,0.0,0.0,0.9466061889850801
Afrikaans,0.0,0.006462968565220979,0.004551642579172454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019015194045527808,0.004043690890753744,0.0002268127573452439,0.0,0.0,0.0,0.0,0.0014785173042772542,7.201186755577319e-06,7.2851783047390085e-06,0.0,0.0,0.0,0.0,0.014490103761941766
South Levantine Arabic,0.00019070927959569632,3.8459566176093536e-05,0.0003333205133135905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012765897087957032,0.0001282645285755046,0.8059826817108371,0.13006813581549162,0.6747002766676914,0.00019371181642080168,0.0001946131091390316,0.00019370892998167217,0.00019684797185074001,0.8059633027522936,0.0001296498934277876,0.0001304436949108324,0.0,0.0,0.0,0.0,0.9348707609360487
Akan,0.0,0.0,0.004728047063918865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.799945600435196e-06,6.6785098908731484e-06,0.08440969602755488,0.09552433791124745,0.23578900037864445,0.015792552154416065,0.019390892758430072,0.015792418282924183,0.0,0.0843500026255448,1.0517422109724759e-05,1.1550144954319177e-05,0.0,0.3542000040511252,0.3543424874406313,0.0,0.054168415862036794
Tosk Albanian,9.232270742934015e-05,0.0,0.000137239245433676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8739761459979882e-05,2.8577960676726108e-05,0.00015101488869516272,0.00032655842911197405,0.0,0.00010172681264464282,9.297892865029463e-05,8.900982922828478e-05,9.245372177593327e-05,0.07621889767306443,2.880442435958163e-05,3.103780059247713e-05,0.0,0.0,0.0,0.0,0.39830500659369034
Amharic,0.0,0.0,0.0014452882335788634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.771756204454454e-06,9.773809611075681e-06,0.778305473850348,0.968009392801751,0.971393004466792,0.0,0.0,0.0,0.0,0.778294240011477,1.1214408271747542e-05,1.1476576307755871e-05,0.0,0.968602865271798,0.9686319259541016,0.0,0.962706955904049
